equipment,date,changed_pcs
1026821,3/21/2023,1
1026821,3/22/2023,1
1026821,3/22/2023,1
1026821,4/20/2023,1
1026821,4/20/2023,1
1026821,4/21/2023,0
1026821,4/21/2023,0
1026821,4/21/2023,0
1026821,4/21/2023,0
1026821,5/15/2023,0
1026821,5/15/2023,0
1026821,5/22/2023,0
1026821,5/23/2023,1
1026821,5/23/2023,1
1026821,5/26/2023,0
1026821,5/26/2023,0
1026821,6/2/2023,3
1026821,6/2/2023,3
1026821,6/5/2023,1
1026821,6/5/2023,1
1026821,6/6/2023,0
1026821,6/6/2023,0
1026821,6/8/2023,0
1026821,6/28/2023,1
1026821,6/28/2023,1
1026821,6/21/2024,1
1026821,6/21/2024,1
1026821,6/24/2024,1
1026828,2/1/2023,0
1026828,2/1/2023,0
1026828,2/2/2023,0
1026828,2/13/2023,0
1026828,2/13/2023,0
1026828,2/15/2023,0
1026828,2/15/2023,0
1026828,2/20/2023,0
1026828,2/20/2023,0
1026828,2/21/2023,0
1026828,3/1/2023,2
1026828,3/1/2023,2
1026828,3/2/2023,1
1026828,3/2/2023,1
1026828,3/7/2023,5
1026828,3/7/2023,5
1026828,3/8/2023,0
1026828,3/8/2023,0
1026828,3/9/2023,0
1026828,3/9/2023,0
1026828,3/13/2023,0
1026828,3/13/2023,0
1026828,4/17/2023,0
1026828,4/17/2023,0
1026828,4/18/2023,0
1026828,4/18/2023,0
1026828,4/19/2023,0
1026828,4/19/2023,0
1026828,4/20/2023,1
1026828,4/20/2023,1
1026828,4/27/2023,0
1026828,4/27/2023,0
1026828,5/12/2023,0
1026828,5/12/2023,0
1026828,5/25/2023,0
1026828,5/25/2023,0
1026828,6/26/2023,1
1026828,6/26/2023,1
1026828,6/29/2023,5
1026828,6/29/2023,5
1026828,7/21/2023,1
1026828,7/21/2023,1
1026828,7/27/2023,4
1026828,7/27/2023,4
1026869,2/22/2023,0
1026869,2/22/2023,0
1026869,3/1/2023,2
1026869,3/1/2023,2
1026869,3/2/2023,1
1026869,3/2/2023,1
1026869,3/8/2023,0
1026869,3/8/2023,0
1026869,3/9/2023,1
1026869,3/9/2023,1
1026869,5/5/2023,0
1026869,5/5/2023,0
1026869,5/11/2023,1
1026869,5/11/2023,1
1026869,6/1/2023,1
1026869,6/1/2023,1
1026869,3/22/2024,0
1026869,4/24/2024,2
1026869,5/6/2024,0
1026876,1/16/2023,1
1026876,1/16/2023,1
1026876,2/16/2023,9
1026876,2/16/2023,9
1026876,5/24/2023,0
1026876,5/24/2023,0
1026876,6/27/2023,1
1026876,6/27/2023,1
1026876,10/6/2023,0
1026876,10/6/2023,0
1026879,1/25/2023,0
1026879,1/25/2023,0
1026879,2/3/2023,2
1026879,2/3/2023,2
1026879,2/16/2023,0
1026879,2/16/2023,0
1026879,2/21/2023,0
1026879,2/21/2023,0
1026879,4/19/2023,0
1026879,4/19/2023,0
1026879,8/17/2023,1
1026879,8/17/2023,1
1026879,8/31/2023,1
1026879,8/31/2023,1
1026879,9/1/2023,1
1026879,9/1/2023,1
1026879,9/6/2023,1
1026879,9/6/2023,1
1026879,10/10/2023,0
1026879,11/1/2023,0
1026879,11/29/2023,1
1026879,11/29/2023,1
1026879,1/24/2024,1
1026879,2/7/2024,2
1026884,5/22/2023,1
1026884,5/22/2023,1
1026884,5/23/2023,1
